Flaeche;BaumNr;Gattung;Art;Sorte;NameDeutsch;Hoehe;Schirmdurchmesser;Stammumfang;Typ;XPos;YPos;lon;lat
189;006;Pyrus;communis; -;Kulturbirne;8;5;55;L;71179;349936;14,2916336146377;48,2837011042682
321;001;Castanea;sativa; -;Edelkastanie;10;10;108;L;72539;351313;14,3101885502016;48,2959245234767
321;002;Fagus;sylvatica; -;Rotbuche;13;12;112;L;72534;351317;14,3101213042907;48,2959610706941
321;003;Fagus;sylvatica; -;Rotbuche;15;14;180;L;72527;351322;14,3100272334646;48,2960059828574
924;012;Acer;platanoides; -;Spitz-Ahorn;7;5;60;L;72426;348473;14,3081729227584;48,2704018678179
1100;369;Tsuga;canadensis; -;Kanadische Hemlocktanne;5;2;56;N;70130;351461;14,2777531926557;48,2975244928190
924;013;Acer;platanoides; -;Spitz-Ahorn;8;5;90;L;72419;348468;14,3080886893283;48,2703536541160
144;001;Catalpa;bignonioides; -;Trompetenbaum;6;4;70;L;72290;348583;14,3063599069058;48,2714076913986
519;032;Acer;campestre; -;Feld-Ahorn;8;7;71;L;70761;354296;14,2867229033182;48,3229517237941
353;008;Quercus;robur; -;Stiel-Eiche;10;7;78;L;72445;351804;14,3090025017800;48,3003508667846
558;007;Fraxinus;excelsior; -;Gemeine Esche;11;7;89;L;71121;353564;14,2914501714007;48,3163282860531
318;011;Pinus;nigra;austriaca;÷sterreichische Schwarz-Kiefer;10;8;140;N;72831;351029;14,3140761287394;48,2933411081151
422;002a;Koelreuteria;paniculata; -;Blasenbaum;3;1;25;L;71486;346177;14,2951327802415;48,2498615814071
558;010;Acer;campestre; -;Feld-Ahorn;7;5;61;L;71138;353554;14,2916766130234;48,3162333499983
422;091;Populus;sp.; -;Pappel;18;12;185;L;71583;346227;14,2964501670298;48,2503045845306
621;012;Betula;papyrifera; -;Papier-Birke;8;6;70;L;72438;355138;14,3094790844290;48,3303297761139
338;018;Tilia;cordata; -;Winter-Linde;14;13;163;L;72573;351173;14,3106240558034;48,2946647198690
338;020;Tilia;cordata; -;Winter-Linde;15;11;175;L;72596;351155;14,3109271805221;48,2944976029747
893;018;Sequoiadendron;giganteum; -;Riesenmammutbaum;4;2;33;N;71862;355367;14,3017571645924;48,3324587626081
338;033;Betula;pendula; -;Weiﬂ-Birke;15;9;87;L;72719;351058;14,3125655578831;48,2936156005930
338;034;Crataegus;sp.; -;Weiﬂdorn;7;5;46;L;72725;351053;14,3126533080131;48,2935656883419
893;027;Quercus;rubra; -;Amerikanische Rot-Eiche;16;17;150;L;71807;355396;14,3010171987612;48,3327215401673
338;035;Crataegus;sp.; -;Weiﬂdorn;5;4;42;L;72731;351048;14,3127243074628;48,2935225974811
1451;020;Platycarya;strobilacea;-;Zapfennuss;18;12;141;L;69378;351003;14,2675444197130;48,2934935537247
1451;021;Prunus;sieboldii; -;Japanische Zier-Kirsche;5;11;320;L;69359;351017;14,2672834205152;48,2936141070924
1451;042;Chamaecyparis;lawsoniana; -;Lawson-Scheinzypresse;18;6;183;N;69319;351002;14,2667446939805;48,2934855135496
1451;045;Chamaecyparis;lawsoniana;Columnaris;"S‰ulen-Scheinzypresse ""Columnaris""";18;5;203;N;69307;351002;14,2665847330874;48,2934926137783
608;120a;Picea;sp.; -;Fichte;7;7;100;N;70393;354933;14,2818688138810;48,3287192002974
608;010a;Picea;omorika; -;Serbische Fichte;17;6;144;N;70452;355013;14,2826778354258;48,3294337125397
796;007;Tilia;cordata; -;Winter-Linde;12;6;86;L;71416;352965;14,2953325974735;48,3109088184142
3;613;Larix;sp.; -;L‰rche;20;4;72;N;73247;356047;14,3205506876190;48,3384074626221
7;110;Picea;glauca; -;Weiﬂ-Fichte;16;4;88;N;73402;355893;14,3226057337565;48,3370111235230
289;024;Taxus;baccata; -;Gemeine Eibe;8;10;230;N;72915;346682;14,3144622701634;48,2542428301581
586;026;Acer;platanoides; -;Spitz-Ahorn;11;6;90;L;70511;354390;14,2833749976328;48,3238241797810
5453;001;Juglans;regia; -;Walnuss;4;3;40;L;75030;346213;14,3428505908408;48,2497775708376
7261;002FL;Populus;nigra; -;Schwarz-Pappel;15;0;0;L;74060;351919;14,3307869694810;48,3012027469110
262;634;Populus;sp.; -;Pappel;15;7;75;L;73202;355743;14,3198847187916;48,3356803393722
262;636;Betula;pendula; -;Weiﬂ-Birke;17;6;79;L;73184;355739;14,3196464673918;48,3356487801268
262;638;Betula;pendula; -;Weiﬂ-Birke;25;6;91;L;73167;355734;14,3194071155912;48,3356048935143
262;639;Betula;pendula; -;Weiﬂ-Birke;16;4;50;L;73167;355738;14,3194130506166;48,3356411794926
666;055;Platanus;hispanica;  -;Ahornbl‰ttrige-Platane;21;15;135;L;70641;354792;14,2851864987623;48,3274210554486
288;001;Acer;platanoides;Columnare;S‰ulen-Spitz-Ahorn;7;3;55;L;73444;346926;14,3216272311173;48,2563697219354
666;066;Platanus;hispanica;  -;Ahornbl‰ttrige-Platane;22;14;160;L;70711;354879;14,2861534861947;48,3281987822207
7134;134;Robinia;sp.; -;Robinie;25;8;173;L;70287;354619;14,2803853108585;48,3259093411986
666;067;Platanus;hispanica;  -;Ahornbl‰ttrige-Platane;22;14;160;L;70717;354886;14,2862285551765;48,3282567933554
7134;131;Robinia;sp.; -;Robinie;25;6;191;L;70281;354618;14,2803095039197;48,3258977427288
810;004;Carpinus;betulus;Fastigiata;S‰ulen-Hainbuche;12;4;36;L;71248;345978;14,2918881823248;48,2481002232369
213;006;Carpinus;betulus; -;Hainbuche;14;3;58;L;70395;347989;14,2807471607293;48,2662724971801
