Anlage;Name;Bereich;Bezirksnummer;Bezirksname;Stadtteil;Art;URL;Koordinaten;Straße;Postleitzahl;Ort;Koordinate Nord;Koordinate Ost;Google-Maps Link
Spielanlage;Kinderspielplatz - Bauernberg Untere Schüssel;Bauernberg untere Schüssel;9;Froschberg;Freinberg, Bauernberg und Froschberg;Kinderspielplatz (0 - 6 Jahre);https://www.linz.at/soziales/5872.php;POINT (14.280673 48.295335);;;;48 295 445;14 280 401;https://www.google.at/maps/place/48.295445,14.280401
Spielanlage;Kinder- und Jugendspielplatz Bergschlößlpark;Bergschlößlpark;1;Innere Stadt;Freinberg, Bauernberg und Froschberg;Kinderspielplatz (0 - 6 Jahre);https://www.linz.at/soziales/5746.php;POINT (14.286377 48.290431);;;;48 290 431;14 286 377;https://www.google.at/maps/place/48.290431,14.286377
Spielanlage;Kinderspielplatz Bockgasse;Bockgasse;9;Froschberg;Freinberg, Bauernberg und Froschberg;Kinderspielplatz (0 - 6 Jahre);https://www.linz.at/soziales/5869.php;POINT (14.278917 48.291473);Tauberweg 19;4020;Linz;48 291 360;14 279 242;https://www.google.at/maps/place/48.291360,14.279242
Spielanlage;Kinder- und Jugendspielplatz - Fritz-Lach-Weg;Fritz-Lach-Weg;9;Froschberg;Freinberg, Bauernberg und Froschberg;Kinder- und Jugendspielplatz (6 - 18 Jahre);https://www.linz.at/soziales/5743.php;POINT (14.26766 48.298678);;;;48 298 709;14 267 593;https://www.google.at/maps/place/48.298709,14.267593
Spielanlage;Jugendspielplatz Hofmeindlweg;Hofmeidlweg;9;Froschberg;Freinberg, Bauernberg und Froschberg;Jugendspielplatz (12 - 18 Jahre);https://www.linz.at/soziales/5644.php;POINT (14.280491 48.285471);;;;48 285 471;14 280 491;https://www.google.at/maps/place/48.285471,14.280491
Spielanlage;Kinderspielplatz Kudlichstraße;Kudlichstraße;9;Froschberg;Freinberg, Bauernberg und Froschberg;Kinderspielplatz (0 - 6 Jahre);https://www.linz.at/soziales/5866.php;POINT (14.285469 48.285043);;;;48 285 043;14 285 469;https://www.google.at/maps/place/48.285043,14.285469
Spielanlage;Kinder- und Jugendspielplatz Limonikeller;Limonikeller;9;Froschberg;Freinberg, Bauernberg und Froschberg;Kinder- und Jugendspielplatz (6 - 18 Jahre);https://www.linz.at/soziales/5740.php;POINT (14.281669 48.298204);;;;48 298 302;14 281 519;https://www.google.at/maps/place/48.298302,14.281519
Spielanlage;Kinder- und Jugendspielplatz Margarethen;Margarethen hinter Turnsaal;9;Froschberg;Zentrum;Kinder- und Jugendspielplatz (6 - 18 Jahre);https://www.linz.at/soziales/5683.php;POINT (14.254466 48.306968);;;;48 306 968;14 254 466;https://www.google.at/maps/place/48.306968,14.254466
Spielanlage;Jugendspielplatz Margarethener Haufen;Margarethener-Haufen;9;Froschberg;Zentrum;Jugendspielplatz (12 - 18 Jahre);https://www.linz.at/soziales/5659.php;POINT (14.254483 48.307957);;;;48 307 957;14 254 483;https://www.google.at/maps/place/48.307957,14.254483
Spielanlage;Kinderspielplatz Minnesängerplatz;Minnesängerplatz;9;Froschberg;Freinberg, Bauernberg und Froschberg;Kinder- und Jugendspielplatz (6 - 18 Jahre);https://www.linz.at/soziales/5863.php;POINT (14.27638 48.289074);;;;48 289 121;14 276 675;https://www.google.at/maps/place/48.289121,14.276675
Spielanlage;Kinder- und Jugendspielplatz Promenade;Promenade;1;Innere Stadt;Zentrum;Kinder- und Jugendspielplatz (6 - 18 Jahre);https://www.linz.at/soziales/5788.php;;;;;48 304 230;14 283 780;https://www.google.at/maps/place/48.304230,14.283780
Spielanlage;Kinderspielplatz Schloßberg;Schloßberg;1;Innere Stadt;Zentrum;Kinderspielplatz (0 - 6 Jahre);https://www.linz.at/soziales/5785.php;POINT (14.281671 48.305579);;;;48 305 136;14 281 131;https://www.google.at/maps/place/48.305136,14.281131
Spielanlage;Kinder- und Jugendspielplatz Schulertal;Schulertal;9;Froschberg;Zentrum;Kinder- und Jugendspielplatz (6 - 18 Jahre);https://www.linz.at/soziales/5671.php;POINT (14.274994 48.301676);;;;48 301 440;14 274 472;https://www.google.at/maps/place/48.301440,14.274472
